CustomerID,CustomerAge,Gender,AnnualIncome,EducationLevel,MaritalStatus,HomeOwnership,ZipCode,Country,JoinDate,LoginsLast7Days,MonthlyLogins,QuarterlyLogins,LastLoginDate,FeaturesUsed,NPS,TotalSupportTickets,SupportTickets90Days,CancelAttempts,PlanName,SubscriptionStatus,MonthlyRevenue,AnnualRevenue,CustomerLifetimeValue,TotalOrders,OrdersLast30Days,AvgOrderValue,LastOrderDate,FailedPayments,DiscountUsageRate,CustomerStage,ChurnProbability,NextRenewalDate,OnboardingDone,OnboardingProgress,PlanUpgrades,PlanDowngrades,ReferralCount,EmailOpenRate,EmailClickRate,PushNotificationsEnabled,SMSOptIn,CommunityMember,ReviewsWritten,AvgRating
CUST_000000,41,Female,43817,hs_diploma,married,Owner,01009,US,2024-01-13,1,4,14,2025-11-12,5,6,17,2,1,Professional,active,453.88,5446.56,13256.76,39,3,53.54,2026-02-17,3,0.0612,new,0.1495,2026-04-21,True,0.8336,1,0,2,0.5056,0.1189,True,False,True,4,3.4
CUST_000001,52,Male,34031,hs or less,married,Owner,01005,US,2023-03-29,0,3,11,2025-10-09,11,10,2,3,2,Professional,active,175.08,2100.96,3105.18,5,5,239.25,2026-01-15,2,0.0098,new,0.1685,2027-01-24,True,0.9158,2,0,2,0.5488,0.0871,False,False,True,4,5.0
CUST_000002,37,Male,40814,Graduate,married,Owner,01009,US,2025-05-28,0,1,7,2025-12-03,6,10,20,3,0,Basic,paused,40.67,488.04,677.23,6,0,227.94,2026-03-28,4,0.2265,mature,0.0095,2027-01-03,False,0.5146,2,1,3,0.0665,0.1167,True,False,True,2,4.7
CUST_000003,42,Female,45910,hs_diploma,married,Owner,01008,US,2024-06-10,5,22,71,2026-02-20,2,8,17,2,0,Professional,paused,199.25,2391.0,1566.44,9,3,340.85,2026-02-13,3,0.5226,mature,0.4112,2027-03-29,False,0.6519,0,0,4,0.2124,0.1082,False,True,False,8,2.8
CUST_000004,54,Female,38409,hs or less,single,Owner,01005,US,2023-12-05,2,9,35,2026-03-18,3,6,0,1,2,Growth,active,51.69,620.28,801.76,22,4,278.09,2026-01-20,1,0.4716,new,0.4222,2026-12-02,False,0.8653,0,1,5,0.4664,0.1198,True,False,False,3,4.6
CUST_000005,61,Female,32737,hs_diploma,married,Owner,01008,US,2022-05-29,0,2,9,2025-12-12,2,7,12,0,3,Starter,paused,140.07,1680.84,4724.96,36,3,196.89,2026-02-20,0,0.5449,mature,0.1614,2026-12-12,True,0.5275,3,0,4,0.2442,0.0304,False,False,False,3,4.1
CUST_000006,48,Male,21259,hs or less,married,Owner,01008,US,2025-02-19,3,12,38,2026-02-26,7,8,17,0,3,Growth,active,169.65,2035.8,2899.9,15,4,434.69,2026-01-29,4,0.5397,churned,0.009,2027-01-31,True,0.8529,0,1,5,0.2433,0.1407,True,False,False,2,5.0
CUST_000007,64,Female,26037,some college,married,Owner,01005,US,2023-03-08,0,2,10,2026-02-08,8,6,2,0,3,Growth,paused,283.12,3397.44,8556.24,34,0,325.03,2026-02-07,3,0.4787,mature,0.1362,2026-11-14,True,0.5301,3,2,3,0.3086,0.0392,True,True,False,3,4.9
CUST_000008,52,Female,37824,Graduate,divorced,Owner,01008,US,2024-10-11,1,5,16,2025-12-08,4,7,20,2,1,Growth,active,376.84,4522.08,11147.8,30,1,218.86,2026-01-23,3,0.2344,growing,0.1311,2026-07-04,False,0.5385,3,0,2,0.1196,0.1489,True,True,True,7,4.8
CUST_000009,49,Male,47726,Bachelor,divorced,Owner,01008,US,2025-07-26,0,0,1,2025-11-19,12,10,6,3,1,Starter,active,439.39,5272.68,4489.32,1,1,398.64,2026-03-18,2,0.0194,mature,0.2668,2026-06-12,True,0.7288,1,2,3,0.0798,0.0388,True,False,True,2,4.2
